corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sanzhi	asabali	0001	#	#	##	##				
sanzhi	asabali	0001	χalq'	people	np.h:s	np	h	s	100	bridging
sanzhi	asabali	0001	kːuš-le-de	hungry-ADVZ-PST	other:pred	other		pred		
sanzhi	asabali	0001	#	#	##	##				
sanzhi	asabali	0001	0	0	0:s	0		s	167	bridging
sanzhi	asabali	0001	daˁwi-la	war-GEN	ln_np:poss	ln_np		poss	101	unused
sanzhi	asabali	0001	dus-m-a-cːe-b-de	year-PL-OBL-IN-HPL-PST	np:pred_other	np		pred_other	102	bridging
sanzhi	asabali	0002	#	#	##neg	##neg				
sanzhi	asabali	0002	di-la	1SG-GEN	ln_pro.1:poss	ln_pro	1	poss	103	bridging
sanzhi	asabali	0002	zu	name	np:s	np		s	104	bridging
sanzhi	asabali	0002	wabše	at.all	other	other				
sanzhi	asabali	0002	kiniga-l-cːe-b	book-OBL-IN-N	np:other	np		other	105	bridging
sanzhi	asabali	0002	selsawet-li-cːe-b	village.head-OBL-IN-N	np.h:other	np	h	other	106	bridging
sanzhi	asabali	0002	b-elk'-un-ne	N-write.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	asabali	0002	b-akːʷ-i	N-NEG-HAB.PST	rv_aux	rv_aux				
sanzhi	asabali	0003	#	#	##	##				
sanzhi	asabali	0003	0	0_I	0.1:s	0	1	s	103	
sanzhi	asabali	0003	kelg-un-da	remain.PFV-PRET-1	v:pred	v		pred		
sanzhi	asabali	0003	xu-c'a-nu	five-tenth-PRT	ln	ln				
sanzhi	asabali	0003	ʡaˁb-ra	three-NUM	ln	ln				
sanzhi	asabali	0003	dus	year	np:other	np		other		
sanzhi	asabali	0003	di	NA	nc	nc				
sanzhi	asabali	0003	ʡaˁb-ra	three-NUM	ln	ln				
sanzhi	asabali	0003	dus-si-cːe-w	year-OBL-IN-M	np:other	np		other	107	unused
sanzhi	asabali	0004	#	#	#cv	#cv				
