corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sanzhi	mill	0001	#	#	##	##				
sanzhi	mill	0001	nišːa-la	1PL-GEN	pro.1:obl	pro	1	obl		
sanzhi	mill	0001	sunglan-t-a-lla	Sanzhi-PL-OBL-GEN	pn_np.h:appos	pn_np	h	appos		
sanzhi	mill	0001	le-b	exist-N	other:predex	other		predex		
sanzhi	mill	0001	χabar	story	np:s	np		s		
sanzhi	mill	0002	#	#	##	##				
sanzhi	mill	0002	χːula	big	ln_adj	ln_adj				
sanzhi	mill	0002	aq-ce	tall-ATTR.SG	ln_adj	ln_adj				
sanzhi	mill	0002	muza	summit	np:s	np		s		
sanzhi	mill	0002	k'e-b	exist.up-N	other:predex	other		predex		
sanzhi	mill	0002	#	#	##	##				
sanzhi	mill	0002	aq-ce	tall-ATTR.SG	ln_adj	ln_adj				
sanzhi	mill	0002	muza	summit	np:obl	np		obl		
sanzhi	mill	0002	0	0	0.h:s_ds	0	h	s_ds		
sanzhi	mill	0002	arilla	during.day	ln	ln				
sanzhi	mill	0002	muza	summit	np:obl	np		obl		
sanzhi	mill	0002	b-ik'ʷ-ar	HPL-say.IPFV-PRS	v:pred	v		pred		
sanzhi	mill	0002	cin-i-j	REFL.SG-OBL-DAT	nc	nc				
sanzhi	mill	0002	=ra	=and	nc	nc				
sanzhi	mill	0003	#	#	##	##				
sanzhi	mill	0003	#	#	#ac	#ac				
sanzhi	mill	0003	ar	noon	np:s	np		s		
sanzhi	mill	0003	d-eʁ-ib	NPL-go.PFV-PRET	v:pred	v		pred		
sanzhi	mill	0003	=qːella	=when	=adp	=adp				
sanzhi	mill	0003	#	#	#ac	#ac				
sanzhi	mill	0003	debʁalla	prayer	np:other	np		other		
sanzhi	mill	0003	hextːu	there.up	other:g	other		g		
sanzhi	mill	0003	bari	sun	np:s	np		s		
sanzhi	mill	0003	ha-b-eʁ-ar-dele	upwards-N-go.PFV-PRS-COND.PST	v:pred	v		pred		
sanzhi	mill	0003	%	%	%	%				
sanzhi	mill	0003	0	0_we	0.1:a_cps	0	1	a_cps		
sanzhi	mill	0003	debʁalla	prayer	other:lvc	other		lvc		
sanzhi	mill	0003	b-irq'-iri	N-do.IPFV-HAB.PST	v:pred	v		pred		
sanzhi	mill	0004	#	#	##neg	##neg				
sanzhi	mill	0004	sːaˁʡaˁt-e	hour-PL	np:s	np		s		
sanzhi	mill	0004	d-akːʷ-i	NPL-NEG-HAB.PST	other:predex	other		predex		
sanzhi	mill	0004	it	that	ln_dem	ln_dem				
sanzhi	mill	0004	zamana	time	np:other	np		other		
sanzhi	mill	0005	#	#	#cv	#cv				
sanzhi	mill	0005	#	#	#rc_pc	#rc_pc				
sanzhi	mill	0005	0	0_we	0.h:a_cps_pc	0	h	a_cps_pc		
sanzhi	mill	0005	debʁalla	prayer	other:lvc	other		lvc		
sanzhi	mill	0005	b-irq'-an	N-do.IPFV-PTCP	v:pred	v		pred		
sanzhi	mill	0005	%	%	%	%				
sanzhi	mill	0005	arilla	during.day	ln	ln				
sanzhi	mill	0005	muza	summit	np:obl	np		obl		
sanzhi	mill	0005	0	0	0.h:s_ds	0	h	s_ds		
sanzhi	mill	0005	b-ik'-ul	HPL-say.IPFV-ICVB	v:pred	v		pred		
sanzhi	mill	0005	#	#	##	##				
sanzhi	mill	0005	nišːa-la	1PL-GEN	pro.1:obl	pro	1	obl		
sanzhi	mill	0005	musːa	place	np:s	np		s		
sanzhi	mill	0005	k'e-b	exist.up-N	other:predex	other		predex		
sanzhi	mill	0006	#	#	#cv.neg	#cv.neg				
sanzhi	mill	0006	urχːab	mill	np:s	np		s	500	new
sanzhi	mill	0006	akːʷ-ar-re	NEG-PRS-CVB	other:predex	other		predex		
sanzhi	mill	0006	ču-la	REFL.PL-GEN	refl.h:obl	refl	h	obl	501	bridging
sanzhi	mill	0006	#	#	#cv	#cv				
sanzhi	mill	0006	0	0_people	0.h:s_cv	0	h	s_cv	501	
sanzhi	mill	0006	bahat'-un-ne	be.anxious-ICVB-CVB	v:pred	v		pred		
sanzhi	mill	0006	#	#	#ac_in	#ac_in				
sanzhi	mill	0006	0	0_people	0.h:a_in	0	h	a_in	501	
sanzhi	mill	0006	deq'a	grain	np:p	np		p	502	bridging
sanzhi	mill	0006	d-elq'-an-aj	NPL-mill.PFV-PTCP-INF2.3	v:pred	v		pred		
sanzhi	mill	0006	#	#	#cv	#cv				
sanzhi	mill	0006	0	0_people	0.h:s_cv	0	h	s_cv	501	
sanzhi	mill	0006	tːura	outside	other	other				
sanzhi	mill	0006	b-uq-un-ne	N-go.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	mill	0006	cabi	be<HPL>	rv_aux	rv_aux				
sanzhi	mill	0006	#	#	#ds_pc	#ds_pc				
sanzhi	mill	0006	čina-b	where-N	intrg_other:l	intrg_other		l		
sanzhi	mill	0006	0	0_people	0.1:a_cv	0	1	a_cv	501	
sanzhi	mill	0006	0	0_mill	0:p	0		p	503	bridging
sanzhi	mill	0006	b-irq'-an-da	N-do.IPFV-PTCP-1	v:pred	v		pred		
sanzhi	mill	0006	=ja	=Q	=other	=other				
sanzhi	mill	0006	#	#	#ds_pc	#ds_pc				
sanzhi	mill	0006	wallah	by.God	other	other				
sanzhi	mill	0006	heχ-tːu-b	DEM.down-LOC-N	dem_pro:l	dem_pro		l	504	new
sanzhi	mill	0006	0	0_people	0.1:a_cv	0	1	a_cv	501	
sanzhi	mill	0006	0	0_mill	0:p	0		p	503	
sanzhi	mill	0006	b-irq'-an-da	N-do.IPFV-PTCP-1	v:pred	v		pred		
sanzhi	mill	0006	#	#	#ds_pc	#ds_pc				
sanzhi	mill	0006	0	0_people	0.1:s_pc	0	1	s_pc	501	
sanzhi	mill	0006	d-ax-an-da	1/2PL-go-PTCP-1	v:pred	v		pred		
sanzhi	mill	0007	#	#	#cv	#cv				
sanzhi	mill	0007	tːura	outside	other	other				
sanzhi	mill	0007	b-uq-un-ne	HPL-go.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	mill	0007	šːan-te	fellow.villager-PL	np.h:s_cv	np	h	s_cv	501	
sanzhi	mill	0007	#	#	#cv	#cv				
sanzhi	mill	0007	0	0_people	0.h:s_cv	0	h	s_cv	501	
sanzhi	mill	0007	ag-ur-re	go.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	mill	0007	ca-b	be-HPL	rv_aux	rv_aux				
sanzhi	mill	0008	#	#	#cv	#cv				
sanzhi	mill	0008	0	0_people	0.h:a_cv	0	h	a_cv	501	
sanzhi	mill	0008	b-irq'-ul	N-do.IPFV-ICVB	v:pred	v		pred		
sanzhi	mill	0008	0	0_mill	0:p	0		p	503	
sanzhi	mill	0008	#	#	#nc	#nc				
sanzhi	mill	0008	0	0_people	nc_0.h	nc_0	h		501	
sanzhi	mill	0008	b-irq'-ul	N-do.IPFV-ICVB	nc	nc				
sanzhi	mill	0008	0	0_mill	nc_0	nc_0			503	
sanzhi	mill	0008	#	#	#nc	#nc				
sanzhi	mill	0008	0	0_people	nc_0.h	nc_0	h		501	
sanzhi	mill	0008	b-irq'-ul	HPL-do.IPFV-ICVB	nc	nc				
sanzhi	mill	0008	0	0_mill	nc_0	nc_0			503	
sanzhi	mill	0008	#	#	#nc	#nc				
sanzhi	mill	0008	0	0_people	nc_0.h	nc_0	h		501	
sanzhi	mill	0008	b-irq'-ul	N-do.IPFV-ICVB	nc	nc				
sanzhi	mill	0008	0	0_mill	nc_0	nc_0			503	
sanzhi	mill	0008	#	#	#cv	#cv				
sanzhi	mill	0008	0	0_people	0.h:a_cv	0	h	a_cv	501	
sanzhi	mill	0008	rurger	water.channel	np:p	np		p	505	bridging
sanzhi	mill	0008	b-arq'-ib-le	N-do.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	mill	0008	ca-b	be-N	rv_aux	rv_aux				
sanzhi	mill	0008	#	#	#cv	#cv				
sanzhi	mill	0008	0	0_people	0.h:a_cv	0	h	a_cv	501	
sanzhi	mill	0008	qal-la	house-GEN	ln_np:poss	ln_np		poss		
sanzhi	mill	0008	musːa	place	np:p	np		p	506	bridging
sanzhi	mill	0008	b-arq'-ib-le	N-do.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	mill	0008	ca-b	be-N	rv_aux	rv_aux				
sanzhi	mill	0009	#	#	#cv	#cv				
sanzhi	mill	0009	na	now	other	other				
sanzhi	mill	0009	0	0_people	0.h:a_cv	0	h	a_cv	501	
sanzhi	mill	0009	0	0_mill	0:p	0		p	503	
sanzhi	mill	0009	b-arq'-ib-le	N-do.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	mill	0009	#	#	#cv	#cv				
sanzhi	mill	0009	taman	end	np:s	np		s		
sanzhi	mill	0009	b-iχ-ub-le	N-be.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	mill	0009	#	#	##	##				
sanzhi	mill	0009	ca	one	ln_deti	ln_deti				
sanzhi	mill	0009	ʡaˁχːuˁl	guest	np.h:s_cps	np	h	s_cps	507	new
sanzhi	mill	0009	dak'u	appear	other:lvc	other		lvc		
sanzhi	mill	0009	uq-un	go.PFV-PRET	v:pred	v		pred		
sanzhi	mill	0009	ca-w	be-M	rv_aux	rv_aux				
sanzhi	mill	0010	#	#	##	##				
sanzhi	mill	0010	Allah-li	Allah-ERG	np.h:a	np	h	a	508	unused
sanzhi	mill	0010	w-at	M-let.PFV	v:pred	v		pred		
sanzhi	mill	0010	k-aʁ-ib-il	down-do.PFV-PRET-PTCP	rv_aux	rv_aux				
sanzhi	mill	0010	už-ib	be-PRET	rv_aux	rv_aux				
sanzhi	mill	0010	ca-w	be-M	rv_aux	rv_aux				
sanzhi	mill	0010	il	that	dem_pro.h:p	dem_pro	h	p	507	
sanzhi	mill	0010	#	#	##ds.neg	##ds.neg				
sanzhi	mill	0010	heltːu-b	there-N	other:l	other		l	504	
sanzhi	mill	0010	urχːab	mill	np:s	np		s	504	
sanzhi	mill	0010	a-arg-an-ne	NEG-go.IPFV-PTCP-PRS.3	v:pred	v		pred		
sanzhi	mill	0010	#	#	##ds	##ds				
sanzhi	mill	0010	0	0_people	0.2:s_cps	0	2	s_cps	501	
sanzhi	mill	0010	laˁk'	away	other:lvc	other		lvc		
sanzhi	mill	0010	d-ig-aj	NPL-be.PFV-IMP.PL	v:pred	v		pred		
sanzhi	mill	0010	#	#	#cv	#cv				
sanzhi	mill	0010	0	0_man	0.h:a_ds_cv	0	h	a_ds_cv	507	
sanzhi	mill	0010	ha-ʔ-ib-le	upwards-say.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	mill	0011	#	#	##	##				
sanzhi	mill	0011	#	#	#cv.neg	#cv.neg				
sanzhi	mill	0011	0	0_man	0.h:a_cv	0	h	a_cv	507	
sanzhi	mill	0011	0	0_people	0.h:g	0	h	g	501	
sanzhi	mill	0011	salam	greeting	np:p	np		p		
sanzhi	mill	0011	a-b-ičː-ib-le	NEG-N-give.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	mill	0011	%	%	%	%				
sanzhi	mill	0011	il	that	ln_dem	ln_dem				
sanzhi	mill	0011	admi	person	np.h:s	np	h	s	507	
sanzhi	mill	0011	sa-r-ituq-un	ANTE-ABL-cross.PFV-PRET	v:pred	v		pred		
sanzhi	mill	0011	ca-w	be-M	rv_aux	rv_aux				
sanzhi	mill	0012	#	#	#cv	#cv				
sanzhi	mill	0012	waˁħ	wah	other	other				
sanzhi	mill	0012	ik'-ul	say.IPFV-ICVB	v:pred	v		pred		
sanzhi	mill	0012	ca-w	be-M	rv_aux	rv_aux				
sanzhi	mill	0012	ca	one	np.h:s_ds_cv	np	h	s_ds_cv	509	bridging
sanzhi	mill	0012	#	#	#ds_pc.neg	#ds_pc.neg				
sanzhi	mill	0012	cellij	why	other	other				
sanzhi	mill	0012	it-i-l	that-OBL-ERG	dem_pro.h:a	dem_pro	h	a	507	
sanzhi	mill	0012	salam	greeting	np:p	np		p		
sanzhi	mill	0012	a-lukː-an	NEG-give.IPFV-PTCP	v:pred	v		pred		
sanzhi	mill	0012	=e	=Q	=other	=other				
sanzhi	mill	0012	nišːi-cːe	1PL-IN	pro.1:g	pro	1	g	501	
sanzhi	mill	0013	#	#	##ds	##ds				
sanzhi	mill	0013	nušːa	1PL	pro.1:s	pro	1	s	534	bridging
sanzhi	mill	0013	heštːu-d	here-1/2PL	other:l	other		l		
sanzhi	mill	0013	d-irq'-ul	1/2PL-do.IPFV-ICVB	v:pred	v		pred		
sanzhi	mill	0013	le-d-le	exist-1/2PL-CVB	rv_v	rv_v				
sanzhi	mill	0013	#	#	##ds	##ds				
sanzhi	mill	0013	0	0_we	0.h:s	0	h	s	534	
sanzhi	mill	0013	hari	let's!	lv_aux	lv_aux				
sanzhi	mill	0013	dawaj	let's	lv_aux	lv_aux				
sanzhi	mill	0013	hitːi	after	other	other				
sanzhi	mill	0013	d-uq-ene	1/2PL-go.PFV-IMP.PL	v:pred	v		pred		
sanzhi	mill	0013	#	#	#cv	#cv				
sanzhi	mill	0013	0	0_people	0.h:s_cv	0	h	s_cv	534	
sanzhi	mill	0013	hitːi	after	other	other				
sanzhi	mill	0013	b-uq-un-ne	HPL-go.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	mill	0013	#	#	##	##				
sanzhi	mill	0013	ca	one	ln_num	ln_num				
sanzhi	mill	0013	k'ʷel	two	ln_num	ln_num				
sanzhi	mill	0013	žahil	young	ln_adj	ln_adj				
sanzhi	mill	0013	durħuˁ	boy	np.h:s	np	h	s	510	bridging
sanzhi	mill	0013	0	0_man	0.h:p	0	h	p	507	
sanzhi	mill	0013	uc-ib	catch.PFV-PRET	v:pred	v		pred		
sanzhi	mill	0013	ca-w	be-M	rv_aux	rv_aux				
sanzhi	mill	0014	#	#	#cv	#cv				
sanzhi	mill	0014	cellij	why	other	other				
sanzhi	mill	0014	0	0_boys	0.1:s_ds_cv	0	1	s_ds_cv	510	
sanzhi	mill	0014	b-ik'-ul	HPL-say.IPFV-ICVB	v:pred	v		pred		
sanzhi	mill	0014	ca-b	be-HPL	rv_aux	rv_aux				
sanzhi	mill	0014	#	#	##ds.neg	##ds.neg				
